First_name_created,Frequency
Bandile,2711
Amogelang,2702
Lethabo,2625
Siyabonga,2619
Melokuhle,2570
Junior,2149
Mpho,1992
Katlego,1971
Banele,1877
Lubanzi,1869
Kamogelo,1857
Thato,1795
Omphile,1775
Bokamoso,1774
Ayabonga,1747
Thapelo,1740
Karabo,1691
Samkelo,1642
Thabang,1613
Luthando,1578
Blessing,1553
Sibusiso,1516
Lesedi,1467
Thabiso,1458
Bokang,1455
Njabulo,1448
Wandile,1422
Ofentse,1395
Siphosethu,1387
Bayanda,1377
Lwandle,1377
Tumelo,1343
Alwande,1296
Siyamthanda,1296
Ntando,1254
Siphesihle,1244
Thandolwethu,1231
Neo,1219
Luyanda,1202
Liam,1197
Philasande,1182
Lwandile,1177
Mpendulo,1147
Ayanda,1139
Andile,1131
Kwanele,1127
Nkosinathi,1121
Tshepang,1103
Lethokuhle,1097
Tebogo,1072
Tshegofatso,1057
Amohelang,1055
Kungawo,1048
Enzokuhle,1018
Lindokuhle,1018
Gift,998
Sphesihle,998
Simphiwe,991
Tshepo,967
Tshiamo,966
Siyanda,965
Oratile,957
Thabo,948
Sanele,938
Okuhle,937
Iminathi,934
Phenyo,932
Kabelo,928
Mnqobi,928
Aphelele,924
Kamohelo,917
Katleho,908
Olwethu,906
Lwazi,899
Joshua,889
Itumeleng,883
Nkazimulo,873
Kagiso,866
Kutlwano,860
Nhlakanipho,841
Koketso,825
Prince,811
Khayone,805
Ethan,799
Alunamda,789
Thatego,768
Kgothatso,765
Owethu,748
Lesego,723
Bohlale,716
Mohau,707
Muhammad,704
Jayden,697
Lehlogonolo,689
Nhlanhla,687
Rorisang,679
Aphiwe,675
Sandile,674
Tshepiso,673
Kgotso,665
Lusanda,662
Daniel,652
Esihle,649
Oarabile,624
Asimbonge,620
Lebogang,619
Amukelani,614
Rethabile,608
Nkosenhle,593
Kopano,588
Atlegang,586
Caleb,585
Lingomso,582
Lefa,577
Khutso,573
Phiwokuhle,565
Lehlohonolo,562
Lungelo,549
Ndumiso,544
Musa,536
Lebohang,535
Ntokozo,534
Omolemo,531
Ntandoyenkos,528
Mahlatse,526
Luke,524
Matthew,520
Thando,519
Reatlegile,518
Awande,516
Noah,512
Owami,508
Teboho,506
Asanda,501
Nathan,500
Lukhanyo,498
Sihle,496
Aiden,495
Sbongakonke,495
Luniko,494
Sbusiso,491
Boitumelo,490
Abenathi,489
Anele,485
Bongani,482
Emmanuel,482
Hlompho,482
Anathi,478
Sphelele,475
Khethelo,473
Mpilo,472
Botshelo,466
Thuto,465
Jordan,464
Michael,463
Oratilwe,463
Mosa,456
Onthatile,450
Seluleko,449
Likuwe,448
Oyintando,446
Lulonke,440
Onkarabile,438
Oluhle,436
Asibonge,435
Logan,435
Bonolo,433
Mogau,432
Sphamandla,431
Johannes,430
Mvelo,424
Nkosingiphil,424
Sabelo,424
Innocent,423
Ntsako,423
Nkanyezi,422
Samuel,421
Nkanyiso,419
Tyler,413
Nqubeko,412
Unathi,412
Letlhogonolo,411
Khumo,408
Indiphile,405
Nkululeko,404
Asiphile,403
Refentse,403
Olothando,402
Mivuyo,401
Onalerona,400
Mojalefa,399
Mpumelelo,396
Hlelokuhle,394
Keabetswe,394
Lisakhanya,393
Bophelo,392
Yamkela,392
Sipho,387
Mason,386
Letlotlo,382
Langelihle,381
Mxolisi,380
Abongwe,379
Paballo,378
Hlelolwenkos,377
Manqoba,377
Lunje,376
Linamandla,375
Thoriso,372
Alondwe,365
Lunathi,363
James,360
Botlhale,356
Mikhulu,356
Atlehang,353
David,353
Tiisetso,353
Mthokozisi,351
Onalenna,351
Smangaliso,351
Esethu,350
Tshireletso,349
Keamogetswe,347
Samukelo,345
Inathi,342
Siphelele,342
Luphawu,341
Luvuyo,341
Zanokuhle,338
Reabetswe,337
Liyabona,336
Eli,333
Matome,333
Avuyile,332
Lucky,332
Sfundo,331
Sandiso,329
Elijah,328
Themba,327
Lonwabo,326
Omphemetse,325
Nkateko,323
Vuyo,322
William,320
Elihle,319
Ndalo,318
Siyabulela,318
Buhle,317
Connor,317
Dimpho,317
Nkosikhona,316
Tshwarelo,316
Athandwa,315
Nyiko,315
Kwanda,312
Iviwe,311
Sibongakonke,310
John,309
Lerato,308
Hlelo,306
Nhlamulo,306
Gontse,305
Syamthanda,305
Liyema,301
Kwandokuhle,299
Aphile,298
Ovayo,298
Boikanyo,297
Kuhlekonke,297
Xolani,297
Ziyanda,297
Asenathi,295
Mhlengi,295
Melusi,293
Ndalwenhle,291
Nqobile,291
Sthembiso,291
Sakhile,290
Alexander,289
Fisokuhle,289
Emihle,287
Muhluri,287
Linathi,286
Thateho,285
Musawenkosi,284
Qiniso,284
Quinton,284
Kgosi,283
