First_name_created,Frequency
,
Amahle,2721
Amogelang,2571
Melokuhle,2356
Omphile,2256
Luthando,2250
Lesedi,2113
Thandolwethu,2112
Rethabile,2038
Lethabo,2003
Minenhle,1970
Naledi,1958
Karabo,1790
Okuhle,1745
Tshegofatso,1745
Iminathi,1610
Esihle,1591
Bokamoso,1574
Emihle,1571
Olwethu,1560
Mpho,1510
Asemahle,1490
Kamogelo,1484
Boitumelo,1474
Alwande,1469
Aphiwe,1445
Lerato,1441
Mbalenhle,1425
Siphesihle,1387
Anele,1384
Bonolo,1326
Ziyanda,1292
Aphelele,1222
Oratile,1133
Andiswa,1127
Katlego,1120
Dimpho,1103
Siyamthanda,1096
Lethokuhle,1076
Bontle,1064
Lwandle,1050
Angel,1041
Ayanda,1024
Reneilwe,1018
Precious,993
Elihle,973
Asanda,969
Ofentse,965
Amohelang,952
Koketso,952
Alunamda,951
Amanda,945
Khayone,931
Palesa,925
Nosipho,921
Sphesihle,908
Lesego,905
Thato,905
Owethu,895
Lubanzi,892
Bohlale,884
Bokang,883
Oluhle,854
Lisakhanya,853
Busisiwe,852
Princess,852
Sibahle,838
Nqobile,813
Oratilwe,803
Mia,802
Buhle,800
Lebogang,796
Reatlegile,792
Ayabonga,786
Siphosethu,777
Noluthando,756
Luyanda,748
Enzokuhle,746
Reabetswe,746
Sisanda,740
Blessing,725
Owami,725
Kelebogile,723
Kungawo,722
Simphiwe,719
Enhle,702
Refilwe,695
Onthatile,694
Neo,689
Relebohile,686
Dineo,685
Reitumetse,685
Zenande,685
Nthabeleng,681
Tshiamo,681
Olerato,678
Mbalentle,675
Keabetswe,672
Keitumetse,668
Faith,656
Lindokuhle,653
Rorisang,648
Alondwe,628
Asiphile,620
Kutlwano,616
Nthabiseng,613
Thando,613
Minentle,611
Nolwazi,610
Hope,605
Phiwokuhle,599
Asimbonge,594
Kgothatso,592
Omolemo,591
Khanyisile,589
Kwanele,584
Nompumelelo,582
Keamogetswe,568
Botshelo,560
Paballo,559
Mbali,558
Sinothando,557
Leah,554
Sbahle,552
Esethu,548
